ADC[mV],Beschleunigung_x[mg],Beschleunigung_y[mg],Beschleunigung_z[mg],Winkelgeschwindigkeit_x[mdeg/s],Winkelgeschwindigkeit_y[mdeg/s],Winkelgeschwindigkeit_z[mdeg/s],Magnetfeld_x[mT],Magnetfeld_y[mT],Magnetfeld_z[mT],Widerstand[A/(Vs)],Zeit[ms]
448,0,1044,91,11474,-16723,-8056,0,73,77,6989,81966
449,13,1054,101,23559,-13427,-14770,0,73,77,6989,81971
447,31,1064,105,14526,-17700,-21606,0,74,77,6988,81976
447,50,1080,103,13671,-23193,-14526,0,74,77,6988,81981
448,66,1089,107,15625,-8911,-18920,0,74,77,6988,81986
447,83,1099,105,12939,-22460,-21118,0,74,77,6988,81991
448,101,1103,109,17578,-26245,-14404,0,74,77,6988,81996
447,121,1107,111,17211,-18188,-16113,0,74,77,6988,82001
448,142,1115,107,7934,-27709,-21850,0,74,77,6988,82006
448,152,1123,101,7080,-22827,-15747,-1,73,77,6987,82011
448,164,1126,97,12084,-21728,-18798,-1,73,77,6987,82016
448,171,1130,99,7202,-18676,-17944,-1,73,77,6987,82021
448,171,1126,95,8666,-18310,-8178,-1,73,77,6987,82026
448,177,1134,91,5737,-17333,-18188,-1,73,77,6987,82031
447,167,1130,89,1220,-15625,-13549,-1,73,77,6987,82036
448,156,1136,87,-1708,-19897,-10864,-1,73,77,6987,82041
449,150,1132,80,-2197,-19775,-16601,0,72,77,6989,82046
449,140,1132,80,-5249,-18066,-16723,0,72,77,6989,82051
447,126,1126,82,-7080,-12451,-5737,0,72,77,6989,82056
447,117,1125,74,2929,-2197,-2319,0,72,77,6989,82061
448,95,1115,76,-2197,-8178,-488,0,72,77,6989,82066
448,80,1105,74,-1953,-9399,-1098,0,72,77,6989,82071
448,58,1107,76,-8056,-7934,-6225,0,72,77,6989,82076
448,46,1099,82,-3295,-8300,-11962,0,72,77,6989,82081
447,33,1097,80,-11962,-5981,-7934,0,72,77,6989,82086
448,19,1093,89,-10864,-6835,732,0,72,77,6989,82091
447,-1,1089,91,-14160,-4394,-10498,0,72,77,6989,82096
448,-13,1087,93,-7690,-4272,-8666,0,72,77,6989,82101
448,-25,1091,99,-18188,-9765,-8666,0,72,77,6989,82106
447,-39,1095,97,-14404,-2075,-2685,0,73,78,6988,82111
449,-46,1099,103,-17700,-6103,-20263,0,73,78,6988,82116
447,-54,1097,109,-12695,-7446,-6469,0,73,78,6988,82121
448,-50,1095,113,-20874,-6469,-11352,0,73,78,6988,82126
448,-56,1097,109,-20263,-10131,-16723,0,73,78,6988,82131
448,-54,1095,105,-25024,-5493,-14038,0,73,78,6988,82136
447,-50,1093,97,-29418,-7934,-14892,0,73,78,6988,82141
448,-39,1089,101,-19775,-8056,-20996,-2,72,77,6988,82146
448,-35,1091,93,-30517,-8911,-20996,-2,72,77,6988,82151
448,-27,1095,91,-25878,-5249,-22094,-2,72,77,6988,82156
448,-17,1091,93,-27587,-3662,-15380,-2,72,77,6988,82161
449,-27,1097,95,-26123,-2685,-21728,-2,72,77,6988,82166
448,-25,1093,95,-26855,-8056,-27099,-2,72,77,6988,82171
447,-27,1091,93,-26489,-4150,-20507,-2,72,77,6988,82176
448,-31,1093,95,-32348,-610,-20751,-1,73,79,6987,82181
448,-31,1087,95,-30395,4760,-28808,-1,73,79,6987,82186
448,-35,1093,99,-31250,-4760,-26489,-1,73,79,6987,82191
448,-33,1080,93,-29663,-732,-29907,-1,73,79,6987,82196
448,-33,1083,101,-25512,-1586,-31250,-1,73,79,6987,82201
448,-37,1089,107,-31860,-1464,-27954,-1,73,79,6987,82206
448,-39,1085,103,-41625,-5615,-30517,-1,73,79,6987,82211
447,-35,1087,109,-35522,-6713,-30151,0,72,79,6988,82216
449,-29,1078,105,-26123,3173,-20141,0,72,79,6988,82221
447,-15,1083,113,-36621,-9887,-26489,0,72,79,6988,82226
448,-13,1082,105,-30517,854,-27832,0,72,79,6988,82231
447,-7,1076,107,-31494,0,-28442,0,72,79,6988,82236
448,-3,1076,111,-35156,-5615,-28442,0,72,79,6988,82241
448,0,1074,107,-27099,-488,-21972,0,72,79,6988,82246
449,5,1068,111,-28686,-4638,-24047,0,71,80,6988,82251
446,3,1062,109,-33447,-6347,-26367,0,71,80,6988,82256
447,-5,1054,109,-27465,-1708,-25268,0,71,80,6988,82261
446,-5,1050,107,-36743,-7080,-16723,0,71,80,6988,82266
448,-9,1044,109,-23925,-8666,-25390,0,71,80,6988,82271
448,-9,1039,103,-28564,4394,-28808,0,71,80,6988,82276
447,-19,1039,105,-30517,-1098,-16601,0,71,80,6988,82281
448,-29,1027,105,-33447,-2685,-25512,2,73,80,6988,82286
449,-42,1021,107,-17578,6103,-13549,2,73,80,6988,82291
447,-46,1011,109,-28320,-5249,-25390,2,73,80,6988,82296
447,-52,1009,109,-22705,-6469,-29541,2,73,80,6988,82301
447,-50,1001,113,-25146,-1220,-19287,2,73,80,6988,82306
447,-60,996,113,-23437,-11962,-21484,2,73,80,6988,82311
448,-66,990,107,-23559,-5371,-24047,2,73,80,6988,82316
448,-72,986,113,-16479,-1708,-26611,0,71,81,6989,82321
448,-76,980,111,-17456,-2075,-32714,0,71,81,6989,82326
447,-85,980,115,-9521,2075,-27099,0,71,81,6989,82331
447,-97,972,117,-14282,-2441,-27954,0,71,81,6989,82336
447,-99,974,117,-8422,2441,-34545,0,71,81,6989,82341
449,-107,972,113,-13061,-366,-30517,0,71,81,6989,82346
447,-113,974,126,-12817,-4638,-36010,1,72,81,6988,82351
447,-115,976,128,-7568,-4028,-30761,1,72,81,6988,82356
447,-121,976,140,-7446,-6225,-43212,1,72,81,6988,82361
448,-113,978,140,-5859,-6103,-35644,1,72,81,6988,82366
448,-115,980,144,-11962,-5126,-39794,1,72,81,6988,82371
447,-107,980,156,-4516,-8056,-29541,1,72,81,6988,82376
447,-101,986,148,-5126,-5737,-34667,1,72,81,6988,82381
449,-93,990,148,-2929,-5371,-31494,2,70,82,6988,82386
446,-83,988,160,-6713,-7690,-36743,2,70,82,6988,82391
447,-76,994,156,-6103,-13183,-38940,2,70,82,6988,82396
448,-68,996,162,-2929,-11108,-32958,2,70,82,6988,82401
449,-56,1000,160,-7568,-12207,-41503,2,70,82,6988,82406
447,-58,1007,158,3662,-8544,-30517,2,70,82,6988,82411
447,-52,1007,158,-2685,-8178,-30151,2,70,82,6988,82416
447,-46,1011,152,-3906,-12817,-33935,1,69,83,6987,82421
448,-46,1013,160,-5004,-6713,-23071,1,69,83,6987,82426
447,-46,1023,154,-3051,-11840,-24169,1,69,83,6987,82431
447,-41,1023,148,-366,-12573,-23559,1,69,83,6987,82436
449,-58,1025,166,2563,-15991,-34912,1,69,83,6987,82441
447,-64,1027,166,-4638,-5371,-22705,1,69,83,6987,82446
448,-66,1029,181,1708,-11352,-25390,1,69,83,6987,82451
447,-72,1027,177,5249,-9643,-16113,1,70,83,6989,82456
448,-76,1031,177,4516,-6958,-13549,1,70,83,6989,82461
448,-87,1029,177,1953,-10009,-12939,1,70,83,6989,82466
447,-91,1033,181,-3173,-11474,-19653,1,70,83,6989,82471
447,-103,1039,185,4150,-6103,-21850,1,70,83,6989,82476
447,-107,1041,183,-5126,-7934,-20751,1,70,83,6989,82481
447,-117,1037,183,1953,-8178,-19775,1,70,83,6989,82486
447,-107,1044,179,1098,-8056,-20996,1,69,83,6988,82491
449,-121,1044,177,0,-8789,-21484,1,69,83,6988,82496
448,-125,1042,171,6835,-13183,-23803,1,69,83,6988,82501
449,-117,1050,171,-4516,-8911,-18432,1,69,83,6988,82506
446,-128,1052,164,-2197,-5249,-22583,1,69,83,6988,82511
446,-130,1062,173,2563,-3784,-11718,1,69,83,6988,82516
446,-134,1060,169,3540,-1831,-13671,1,69,83,6988,82521
447,-128,1064,177,1831,-2807,-25024,1,70,82,6987,82526
447,-136,1064,175,2929,-8056,-22094,1,70,82,6987,82531
447,-136,1072,181,4394,2197,-28442,1,70,82,6987,82536
447,-144,1082,183,2929,-1098,-30639,1,70,82,6987,82541
447,-152,1078,183,4638,-6347,-27587,1,70,82,6987,82546
448,-152,1083,181,732,-4272,-31494,1,70,82,6987,82551
446,-158,1089,187,-1098,-3417,-34301,1,70,82,6987,82556
448,-164,1095,185,1586,2685,-25390,2,69,83,6988,82561
449,-166,1099,183,4394,1708,-29663,2,69,83,6988,82566
448,-173,1095,187,-1342,8178,-22460,2,69,83,6988,82571
447,-173,1103,191,3051,1220,-28442,2,69,83,6988,82576
447,-173,1113,187,-4760,-2929,-39062,2,69,83,6988,82581
447,-173,1113,185,4882,1342,-33813,2,69,83,6988,82586
447,-169,1115,189,2441,-732,-39306,2,69,83,6988,82591
448,-169,1111,187,3540,6103,-36621,2,69,83,6987,82596
448,-179,1123,175,-1464,-732,-43701,2,69,83,6987,82601
447,-179,1119,189,-2441,122,-37963,2,69,83,6987,82606
448,-177,1121,183,1342,1831,-36132,2,69,83,6987,82611
447,-185,1132,183,-3417,244,-37841,2,69,83,6987,82616
448,-197,1126,183,2441,6958,-40405,2,69,83,6987,82621
448,-201,1126,193,7080,6713,-46386,3,66,82,6988,82626
448,-210,1136,187,732,10375,-40771,3,66,82,6988,82631
449,-222,1132,193,-1220,3051,-51269,3,66,82,6988,82636
449,-224,1132,195,2563,1342,-47729,3,66,82,6988,82641
446,-228,1130,183,0,2685,-41992,3,66,82,6988,82646
447,-224,1130,187,4028,5737,-50903,3,66,82,6988,82651
448,-220,1132,185,3784,-122,-58471,3,66,82,6988,82656
447,-234,1136,187,4272,10620,-59692,4,68,84,6987,82661
447,-238,1132,185,2197,-732,-56274,4,68,84,6987,82666
447,-234,1142,179,-4394,-854,-56762,4,68,84,6987,82671
448,-240,1138,181,854,2685,-61279,4,68,84,6987,82676
447,-242,1140,185,-3173,4882,-60668,4,68,84,6987,82681
447,-251,1142,177,-976,-2563,-62011,4,68,84,6987,82686
448,-267,1142,185,-1586,2197,-62988,4,68,84,6987,82691
447,-273,1144,189,-3784,2075,-70556,4,66,83,6986,82696
447,-283,1132,183,-5371,122,-65063,4,66,83,6986,82701
448,-287,1132,187,-8178,9033,-67382,4,66,83,6986,82706
448,-300,1132,193,-10864,-5493,-75073,4,66,83,6986,82711
449,-302,1132,189,-2197,-1953,-77880,4,66,83,6986,82716
447,-306,1125,195,-6713,-5126,-76904,4,66,83,6986,82721
447,-308,1126,191,-10009,-2075,-80444,4,66,83,6986,82726
447,-306,1125,187,-10498,366,-77880,4,64,84,6987,82731
447,-300,1125,181,-13549,488,-82885,4,64,84,6987,82736
447,-296,1119,171,-12084,-8300,-87890,4,64,84,6987,82741
447,-296,1119,169,-4150,3295,-80566,4,64,84,6987,82746
447,-306,1117,167,-8789,-2441,-91796,4,64,84,6987,82751
448,-308,1109,156,-8666,-1220,-94360,4,64,84,6987,82756
448,-318,1105,160,-9887,-976,-99243,4,64,84,6987,82761
449,-324,1097,160,-13305,2197,-84472,4,64,85,6988,82766
447,-339,1087,154,-17211,-8178,-95703,4,64,85,6988,82771
447,-343,1085,154,-13305,-4150,-108276,4,64,85,6988,82776
448,-351,1072,156,-13305,-122,-98144,4,64,85,6988,82781
449,-365,1074,150,-17211,-5615,-100708,4,64,85,6988,82786
447,-367,1060,164,-9887,1831,-104858,4,64,85,6988,82791
447,-375,1054,158,-6958,-3417,-102539,4,64,85,6988,82796
447,-376,1050,152,-13916,-2319,-108032,5,63,85,6988,82801
446,-384,1044,160,-6347,-4150,-109130,5,63,85,6988,82806
448,-384,1035,160,-7202,-5737,-112182,5,63,85,6988,82811
447,-386,1029,154,-17700,-6469,-111206,5,63,85,6988,82816
447,-394,1021,156,-11108,-12084,-111083,5,63,85,6988,82821
447,-392,1007,160,-13061,-10375,-116577,5,63,85,6988,82826
448,-390,1003,156,-13305,-14038,-116088,5,63,85,6988,82831
448,-402,992,154,-9399,-10009,-117919,6,61,86,6987,82836
447,-410,982,152,-19775,-11718,-115600,6,61,86,6987,82841
448,-417,972,158,-9399,-12817,-119750,6,61,86,6987,82846
448,-431,964,156,-12084,-17700,-123413,6,61,86,6987,82851
449,-431,958,171,-13061,-11596,-122070,6,61,86,6987,82856
448,-435,970,158,-12939,-7446,-123291,6,61,86,6987,82861
447,-347,945,148,-10131,-4028,-125244,5,59,85,6986,82866
447,-474,857,205,-7446,-7324,-126098,5,59,85,6986,82871
448,-466,964,177,-12207,-13793,-120361,5,59,85,6986,82876
447,-439,931,185,-15380,-12084,-125366,5,59,85,6986,82881
449,-324,949,220,-9399,-9277,-131713,5,59,85,6986,82886
446,-380,882,228,-9033,-8056,-124389,5,59,85,6986,82891
447,-449,822,123,-9643,-9643,-134643,5,59,85,6986,82896
446,-505,919,164,-6103,-4028,-123413,6,56,86,6988,82901
449,-564,916,152,-8544,-5249,-133544,6,56,86,6988,82906
447,-447,908,187,-14770,-2929,-131225,6,56,86,6988,82911
449,-373,816,205,-10742,244,-131835,6,56,86,6988,82916
446,-425,828,177,-15136,-1953,-133422,6,56,86,6988,82921
447,-529,863,169,-11718,0,-129150,6,56,86,6988,82926
446,-552,843,162,-15014,-5737,-125610,6,56,86,6988,82931
447,-513,824,175,-11352,0,-117187,8,53,86,6988,82936
447,-498,792,191,-8056,2197,-126708,8,53,86,6988,82941
447,-519,808,185,-7690,488,-129516,8,53,86,6988,82946
447,-552,792,181,-8422,-3173,-135620,8,53,86,6988,82951
447,-562,777,179,-2807,1342,-128173,8,53,86,6988,82956
448,-570,765,191,-5493,-2075,-135131,8,53,86,6988,82961
447,-580,779,187,-7690,-488,-130859,8,53,86,6988,82966
447,-595,755,199,-8300,-3295,-129028,7,52,86,6988,82971
448,-601,753,207,-6103,-3906,-132568,7,52,86,6988,82976
448,-605,736,203,-8178,-9521,-130371,7,52,86,6988,82981
448,-607,732,201,-4394,-4760,-133300,7,52,86,6988,82986
448,-609,710,199,-6958,-6958,-125488,7,52,86,6988,82991
448,-619,712,193,-610,-8666,-142944,7,52,86,6988,82996
448,-617,708,199,-2685,-4150,-137451,7,52,86,6988,83001
448,-617,695,199,-8300,-10742,-134399,9,50,87,6988,83006
448,-625,689,199,-488,-2075,-134521,9,50,87,6988,83011
448,-623,677,193,-366,-6103,-123779,9,50,87,6988,83016
449,-630,675,193,3173,-8544,-136108,9,50,87,6988,83021
447,-632,671,201,2197,-6225,-139282,9,50,87,6988,83026
447,-632,656,205,3173,-8056,-140258,9,50,87,6988,83031
447,-640,654,197,1342,-11718,-127563,9,50,87,6988,83036
448,-660,636,197,3784,-13916,-139770,8,49,88,6988,83041
449,-666,628,201,1220,-4760,-136962,8,49,88,6988,83046
447,-673,599,208,4028,-4272,-137695,8,49,88,6988,83051
448,-691,599,195,6713,-1953,-128173,8,49,88,6988,83056
447,-707,601,195,5493,-6591,-134277,8,49,88,6988,83061
447,-718,580,197,3051,-1708,-138671,8,49,88,6988,83066
448,-734,576,193,610,-1831,-134765,8,49,88,6988,83071
447,-744,566,203,9277,-6469,-134521,7,45,87,6988,83076
448,-748,548,195,10375,-5981,-140747,7,45,87,6988,83081
447,-750,548,197,6225,-4760,-138549,7,45,87,6988,83086
448,-757,539,197,3173,-10253,-142456,7,45,87,6988,83091
449,-767,533,197,11108,-7568,-136352,7,45,87,6988,83096
448,-773,519,205,5371,-6713,-137817,7,45,87,6988,83101
447,-777,507,199,4394,-3173,-135375,7,45,87,6988,83106
447,-775,501,191,12817,-3173,-135864,7,43,88,6988,83111
449,-771,488,183,10253,-2563,-137329,7,43,88,6988,83116
447,-769,476,179,8911,-4028,-136474,7,43,88,6988,83121
446,-775,470,183,4882,1586,-137084,7,43,88,6988,83126
446,-787,453,185,7324,-2197,-141357,7,43,88,6988,83131
447,-794,433,189,12695,-2441,-141479,7,43,88,6988,83136
447,-802,427,189,13549,-4760,-135620,6,41,89,6989,83141
448,-802,414,189,10986,-1953,-133789,6,41,89,6989,83146
448,-812,412,199,14892,-5126,-133056,6,41,89,6989,83151
447,-812,402,197,20263,-3540,-139404,6,41,89,6989,83156
447,-814,392,189,18188,-5493,-126831,6,41,89,6989,83161
448,-818,375,193,17089,-8666,-138671,6,41,89,6989,83166
448,-824,365,195,18554,-3540,-132812,6,41,89,6989,83171
449,-832,351,189,13305,-2563,-135253,5,38,90,6987,83176
446,-832,339,189,11718,-9155,-142333,5,38,90,6987,83181
447,-839,332,191,14038,2075,-130371,5,38,90,6987,83186
447,-839,316,189,16113,-10742,-142333,5,38,90,6987,83191
447,-851,304,195,15136,-9765,-136108,5,38,90,6987,83196
447,-861,294,187,20263,-13427,-132324,5,38,90,6987,83201
447,-861,291,191,25268,-13183,-131103,5,38,90,6987,83206
447,-853,277,201,24047,-10498,-126586,5,36,90,6988,83211
447,-845,273,189,12939,-7568,-126953,5,36,90,6988,83216
447,-843,265,193,15625,-15380,-122558,5,36,90,6988,83221
448,-830,259,193,15625,-7202,-124023,5,36,90,6988,83226
447,-833,240,181,19165,-10375,-117187,5,36,90,6988,83231
447,-835,240,183,19042,-14038,-120239,5,36,90,6988,83236
447,-843,222,183,19653,-8178,-122558,5,36,90,6988,83241
448,-841,210,181,25634,-6835,-122924,4,36,89,6988,83246
449,-835,199,187,24658,-4272,-118774,4,36,89,6988,83251
447,-839,181,185,24047,-8300,-115600,4,36,89,6988,83256
448,-845,166,195,26367,-2197,-102294,4,36,89,6988,83261
447,-861,156,189,21118,-4028,-109008,4,36,89,6988,83266
447,-871,130,208,22827,-6103,-111083,4,36,89,6988,83271
448,-875,123,208,25268,-5493,-107910,4,36,89,6988,83276
447,-880,107,214,26245,-7202,-111083,4,33,91,6986,83281
448,-882,103,214,26000,-122,-104125,4,33,91,6986,83286
448,-880,89,207,18920,4272,-101196,4,33,91,6986,83291
447,-863,78,208,31982,9643,-102416,4,33,91,6986,83296
449,-859,74,208,18798,7934,-105346,4,33,91,6986,83301
447,-853,72,197,24780,10131,-98999,4,33,91,6986,83306
447,-843,74,193,24536,5737,-101928,4,33,91,6986,83311
447,-830,70,199,20141,9887,-99121,1,31,91,6989,83316
447,-820,72,199,26977,12573,-89233,1,31,91,6989,83321
447,-808,64,207,25634,17211,-88012,1,31,91,6989,83326
447,-808,66,195,17456,14648,-78491,1,31,91,6989,83331
446,-806,54,199,21606,21240,-71533,1,31,91,6989,83336
447,-818,54,205,18310,17822,-79833,1,31,91,6989,83341
448,-826,35,195,19897,23193,-68969,1,31,91,6989,83346
447,-841,29,207,21728,20629,-69458,1,30,91,6987,83351
449,-859,19,212,21606,27587,-65795,1,30,91,6987,83356
447,-869,9,218,21606,22460,-55786,1,30,91,6987,83361
448,-876,9,214,20507,28442,-56884,1,30,91,6987,83366
447,-888,1,216,23803,26977,-57739,1,30,91,6987,83371
447,-898,0,210,20874,22583,-54565,1,30,91,6987,83376
448,-917,-15,205,19409,27954,-44677,0,29,91,6986,83381
448,-927,-17,212,17944,16845,-50781,0,29,91,6986,83386
448,-931,-23,195,23803,21362,-39184,0,29,91,6986,83391
447,-935,-29,203,17089,24658,-34545,0,29,91,6986,83396
448,-937,-23,199,19409,16479,-31494,0,29,91,6986,83401
449,-939,-41,197,13793,18798,-35522,0,29,91,6986,83406
447,-945,-44,195,14404,19775,-22705,0,29,91,6986,83411
448,-945,-44,191,14160,15136,-26977,-2,28,91,6986,83416
449,-955,-44,195,11962,18432,-25268,-2,28,91,6986,83421
447,-955,-48,195,12817,14648,-15258,-2,28,91,6986,83426
446,-958,-50,187,11596,16113,-19531,-2,28,91,6986,83431
447,-955,-56,189,10742,12207,-19287,-2,28,91,6986,83436
447,-951,-58,187,15625,17333,-14892,-2,28,91,6986,83441
447,-966,-60,175,17089,15136,-21484,-2,28,91,6986,83446
447,-960,-72,181,14526,15869,-14160,-1,29,90,6987,83451
447,-966,-76,175,11840,14648,-23193,-1,29,90,6987,83456
448,-970,-70,171,10498,14770,-10131,-1,29,90,6987,83461
448,-968,-76,166,10375,13916,-10742,-1,29,90,6987,83466
447,-970,-76,160,12329,15869,-7080,-1,29,90,6987,83471
447,-972,-70,154,6835,19775,-10864,-1,29,90,6987,83476
447,-968,-76,152,8789,22583,-2563,-1,29,90,6987,83481
449,-974,-68,154,2441,15258,-7080,-1,28,91,6987,83486
447,-976,-70,148,6347,10864,-7080,-1,28,91,6987,83491
447,-972,-68,144,-2197,17211,-4638,-1,28,91,6987,83496
447,-974,-74,152,-976,16235,-4028,-1,28,91,6987,83501
447,-976,-70,146,6591,19897,-4394,-1,28,91,6987,83506
448,-976,-68,136,5249,16235,2685,-1,28,91,6987,83511
447,-980,-70,136,5859,19287,1464,-1,28,91,6987,83516
448,-978,-74,134,5859,20996,5004,-2,28,93,6987,83521
448,-966,-70,125,-2807,13916,-1708,-2,28,93,6987,83526
447,-982,-74,130,-4150,14282,732,-2,28,93,6987,83531
448,-972,-72,117,-976,15136,732,-2,28,93,6987,83536
448,-980,-74,113,3784,14404,6103,-2,28,93,6987,83541
448,-982,-70,115,122,14770,6835,-2,28,93,6987,83546
449,-990,-68,107,-1098,7202,7812,-2,28,93,6987,83551
446,-984,-64,107,1831,15869,10864,-1,29,91,6987,83556
447,-986,-72,93,1342,12451,-244,-1,29,91,6987,83561
447,-988,-58,95,976,13916,1464,-1,29,91,6987,83566
447,-986,-60,97,976,15258,3051,-1,29,91,6987,83571
449,-988,-54,99,0,13916,12573,-1,29,91,6987,83576
447,-990,-54,97,-610,13061,-4028,-1,29,91,6987,83581
447,-994,-50,93,-2441,18188,4272,-1,29,91,6987,83586
448,-994,-48,95,3295,11352,5615,-1,28,91,6986,83591
447,-1000,-46,95,-5371,12451,6469,-1,28,91,6986,83596
447,-990,-42,97,-2441,10375,7446,-1,28,91,6986,83601
447,-996,-33,93,-4882,8789,-732,-1,28,91,6986,83606
448,-988,-35,97,-9277,10009,5126,-1,28,91,6986,83611
448,-998,-21,97,2563,9643,6225,-1,28,91,6986,83616
448,-1000,-23,95,-1953,7934,7812,-1,28,91,6986,83621
448,-996,-25,99,-2075,7568,2319,0,28,90,6988,83626
448,-1011,-21,99,-4638,5126,14526,0,28,90,6988,83631
448,-1007,-17,99,-5126,9643,7324,0,28,90,6988,83636
449,-1005,-17,99,-4638,2075,11474,0,28,90,6988,83641
447,-1013,-17,101,-8544,2685,10864,0,28,90,6988,83646
447,-1011,-17,99,-1464,2563,1098,0,28,90,6988,83651
447,-1013,-3,99,-5737,1953,13061,-2,28,91,6987,83656
447,-1019,-3,103,-610,3295,6347,-2,28,91,6987,83661
447,-1011,-7,107,-2929,-5737,13427,-2,28,91,6987,83666
447,-1011,-5,109,-2563,244,3295,-2,28,91,6987,83671
448,-1013,1,101,-1586,-854,11840,-2,28,91,6987,83676
449,-998,5,101,-366,3173,12329,-2,28,91,6987,83681
446,-1000,7,95,-8666,-5615,-4516,-2,28,91,6987,83686
448,-996,17,95,-3295,1586,11718,1,29,89,6987,83691
447,-990,13,97,-8911,-1831,5615,1,29,89,6987,83696
447,-982,9,101,-1464,-2075,-2441,1,29,89,6987,83701
448,-984,17,99,-4150,-2075,4394,1,29,89,6987,83706
447,-980,17,97,-5249,610,10742,1,29,89,6987,83711
448,-976,11,93,2929,3906,10009,1,29,89,6987,83716
447,-978,21,95,-2563,13061,9277,1,29,89,6987,83721
449,-986,21,97,-854,6225,15869,1,29,89,6990,83726
447,-986,27,99,-4150,4516,4638,1,29,89,6990,83731
448,-988,15,97,-9155,3295,9643,1,29,89,6990,83736
447,-996,25,95,-5004,-2075,7812,1,29,89,6990,83741
447,-1000,31,95,-6347,1098,6469,1,29,89,6990,83746
448,-1005,29,95,-7690,9277,4760,1,29,89,6990,83751
447,-1011,29,93,-7934,1708,10375,1,29,89,6990,83756
447,-1017,31,95,-610,0,6103,0,28,89,6988,83761
447,-1019,35,95,-6469,854,5249,0,28,89,6988,83766
448,-1013,27,93,-5126,1953,8666,0,28,89,6988,83771
448,-1017,29,95,-10986,-3051,2563,0,28,89,6988,83776
449,-1017,17,95,-7568,1220,-488,0,28,89,6988,83781
446,-1013,23,91,-8300,-4882,13061,0,28,89,6988,83786
447,-1025,25,95,-5859,-2075,6103,0,28,89,6988,83791
446,-1017,19,93,-8666,2563,4272,0,29,90,6987,83796
447,-1021,21,97,-3295,1342,7324,0,29,90,6987,83801
448,-1023,17,93,-5615,-5126,-854,0,29,90,6987,83806
449,-1019,13,93,-5493,-122,11718,0,29,90,6987,83811
447,-1025,25,99,-6591,-10742,8422,0,29,90,6987,83816
448,-1017,17,93,-6835,-5981,7324,0,29,90,6987,83821
447,-1015,27,93,-4150,-6103,4150,0,29,90,6987,83826
447,-1011,31,93,-6225,-7202,-732,-1,29,89,6987,83831
447,-1001,35,93,-5615,-6958,9521,-1,29,89,6987,83836
447,-1005,29,91,-4760,-4028,7080,-1,29,89,6987,83841
447,-1005,29,95,-1953,-1098,6958,-1,29,89,6987,83846
448,-1001,33,93,-7690,-4638,5615,-1,29,89,6987,83851
449,-1007,35,97,-2563,-3173,10864,-1,29,89,6987,83856
448,-1009,39,93,-5371,-4150,366,-1,29,89,6987,83861
446,-1011,33,99,-2685,-3295,6103,1,30,89,6987,83866
448,-1011,39,97,-6591,976,5981,1,30,89,6987,83871
446,-1015,33,103,-4150,-3540,4272,1,30,89,6987,83876
448,-1013,37,97,2685,-2563,5615,1,30,89,6987,83881
448,-1015,35,103,2197,2685,7934,1,30,89,6987,83886
447,-1009,41,99,-4150,-5737,2685,1,30,89,6987,83891
446,-1009,48,97,-2441,-2563,7202,1,29,89,6987,83896
448,-1013,48,107,-5371,-2441,4028,1,29,89,6987,83901
447,-1009,46,99,-2563,-2441,488,1,29,89,6987,83906
447,-1009,50,105,-6225,-4028,5615,1,29,89,6987,83911
448,-1009,52,103,-6103,-854,9277,1,29,89,6987,83916
447,-1017,52,111,-11718,-5004,-2197,1,29,89,6987,83921
448,-1015,48,115,-7690,-976,6103,1,29,89,6987,83926
447,-1019,54,123,-2685,-8300,-122,1,29,90,6988,83931
448,-1023,50,117,-4516,-6103,3051,1,29,90,6988,83936
448,-1027,50,123,-4150,-2685,4760,1,29,90,6988,83941
449,-1029,56,121,-2929,-5126,10375,1,29,90,6988,83946
447,-1025,54,125,-7690,-732,1953,1,29,90,6988,83951
447,-1021,58,115,-8056,1831,7690,1,29,90,6988,83956
447,-1021,48,125,-7446,-8911,-1464,1,29,90,6988,83961
448,-1021,54,119,-4028,-4150,-488,0,29,89,6987,83966
448,-1015,52,115,0,-7080,-976,0,29,89,6987,83971
449,-1009,50,117,-2441,-9399,-4394,0,29,89,6987,83976
447,-1011,56,115,-5493,-488,2075,0,29,89,6987,83981
447,-1003,60,117,122,-4394,366,0,29,89,6987,83986
448,-1000,66,109,-3906,-854,0,0,29,89,6987,83991
447,-998,66,123,-9521,-7812,2441,0,29,89,6987,83996
448,-998,66,113,-6347,-2441,5249,-1,28,90,6986,84001
448,-1000,64,121,-4394,2563,1708,-1,28,90,6986,84006
448,-1005,64,123,-4516,-854,-2197,-1,28,90,6986,84011
448,-1007,62,123,-5004,732,122,-1,28,90,6986,84016
447,-1013,66,125,-6713,0,366,-1,28,90,6986,84021
448,-1011,56,126,-8300,-122,-4150,-1,28,90,6986,84026
448,-1017,62,128,-7568,2319,2075,-1,28,90,6986,84031
448,-1023,60,130,-6591,-2807,7690,0,29,89,6987,84036
448,-1019,56,119,-4394,4150,4028,0,29,89,6987,84041
448,-1017,56,123,-5493,-4760,-2929,0,29,89,6987,84046
448,-1017,56,126,-5371,-854,2197,0,29,89,6987,84051
449,-1013,54,121,-10253,-2807,8422,0,29,89,6987,84056
449,-1015,54,115,-3906,3417,1831,0,29,89,6987,84061
447,-1009,56,123,-2563,1220,-2197,0,29,89,6987,84066
447,-1009,52,125,-2563,-2441,-6469,1,29,89,6987,84071
448,-1007,56,119,-3417,-1708,1586,1,29,89,6987,84076
