ADC[mV],Beschleunigung_x[mg],Beschleunigung_y[mg],Beschleunigung_z[mg],Winkelgeschwindigkeit_x[mdeg/s],Winkelgeschwindigkeit_y[mdeg/s],Winkelgeschwindigkeit_z[mdeg/s],Magnetfeld_x[mT],Magnetfeld_y[mT],Magnetfeld_z[mT],Widerstand[A/(Vs)],Zeit[ms]
465,15,1035,89,-1953,-854,3051,9,66,84,6991,80351
464,15,1033,91,2929,-1220,-3662,9,66,84,6991,80356
464,11,1031,89,3173,1953,-9033,9,66,86,6990,80361
463,13,1037,91,-488,3051,-122,9,66,86,6990,80366
463,15,1037,93,-4760,488,-2441,9,66,86,6990,80371
461,9,1039,89,-2197,732,1831,9,66,86,6990,80376
459,13,1031,89,-3051,-3295,854,9,66,86,6990,80381
457,13,1037,91,-1586,2197,-4028,9,66,86,6990,80386
457,19,1035,89,-4516,610,5371,9,66,86,6990,80391
458,11,1037,89,-122,1953,7324,9,67,87,6990,80396
457,13,1037,91,366,244,488,9,67,87,6990,80401
456,17,1035,91,4516,-2319,-488,9,67,87,6990,80406
455,15,1035,91,5371,-1098,-2685,9,67,87,6990,80411
455,11,1039,89,-2197,-2319,5737,9,67,87,6990,80416
455,13,1035,91,732,-4760,-5249,9,67,87,6990,80421
456,3,1035,91,854,-122,3906,9,67,87,6990,80426
455,11,1035,91,-1708,1953,4638,9,67,86,6988,80431
455,13,1037,91,5249,3906,3173,9,67,86,6988,80436
455,13,1033,91,-5004,-1586,-122,9,67,86,6988,80441
455,17,1037,91,-244,-5004,732,9,67,86,6988,80446
454,9,1037,91,1464,3662,-2441,9,67,86,6988,80451
455,11,1035,89,1342,-610,2441,9,67,86,6988,80456
455,17,1037,87,-244,2563,-4028,9,67,86,6988,80461
455,11,1035,91,-3906,-1831,-6347,9,67,86,6988,80466
454,9,1031,89,-1708,6835,-488,9,67,86,6988,80471
454,17,1029,89,3540,-1464,2319,9,67,86,6988,80476
453,15,1031,91,11596,4394,1098,9,67,86,6988,80481
452,9,1033,91,-4394,244,5004,9,67,86,6988,80486
452,13,1033,91,-610,-2197,366,9,67,86,6988,80491
451,11,1035,89,-7934,-1831,-4638,9,67,86,6988,80496
451,9,1035,91,1220,3906,-4638,8,67,86,6989,80501
450,5,1035,91,-2319,-3540,-3540,8,67,86,6989,80506
448,9,1037,91,-2807,-1098,4028,8,67,86,6989,80511
449,13,1029,91,-488,-2685,-2197,8,67,86,6989,80516
448,15,1039,91,5004,1953,3295,8,67,86,6989,80521
449,11,1033,91,-6469,-9765,-8300,8,67,86,6989,80526
447,11,1033,93,1220,2441,-3051,8,67,86,6989,80531
448,15,1031,91,4028,5493,0,9,67,86,6988,80536
449,13,1037,91,2807,3051,-1220,9,67,86,6988,80541
447,17,1031,91,-5493,-1586,-2441,9,67,86,6988,80546
447,11,1031,91,854,854,854,9,67,86,6988,80551
447,13,1035,91,854,-122,1098,9,67,86,6988,80556
447,15,1033,91,2807,3540,0,9,67,86,6988,80561
447,15,1035,91,-732,5004,-1464,9,66,85,6988,80566
448,15,1037,89,-732,0,6225,9,66,85,6988,80571
448,13,1037,89,-1098,-3295,-10131,9,66,85,6988,80576
447,13,1039,89,7324,6225,-3906,9,66,85,6988,80581
449,13,1029,91,1831,-488,-5493,9,66,85,6988,80586
448,15,1041,91,-2563,-2563,4272,9,66,85,6988,80591
447,11,1029,91,1342,-1953,-3295,9,66,85,6988,80596
447,11,1031,93,-1098,1586,6835,8,66,86,6989,80601
447,13,1033,91,-3540,1708,1708,8,66,86,6989,80606
447,13,1033,91,1464,-2441,122,8,66,86,6989,80611
449,11,1031,89,-4760,-4028,976,8,66,86,6989,80616
447,11,1033,91,-610,-2075,-1098,8,66,86,6989,80621
448,11,1039,91,-4150,1831,-1098,8,66,86,6989,80626
