ADC[mV],Beschleunigung_x[mg],Beschleunigung_y[mg],Beschleunigung_z[mg],Winkelgeschwindigkeit_x[mdeg/s],Winkelgeschwindigkeit_y[mdeg/s],Winkelgeschwindigkeit_z[mdeg/s],Magnetfeld_x[mT],Magnetfeld_y[mT],Magnetfeld_z[mT],Widerstand[A/(Vs)],Zeit[ms]
2144,15,1033,91,366,-5371,0,2,69,82,6928,542988
2090,9,1039,89,-4150,-610,3417,3,70,82,6926,542993
2033,21,1031,93,732,1831,2441,3,70,82,6926,542998
1976,13,1033,91,1831,3540,3295,3,70,82,6926,543003
1920,9,1035,91,3173,-2075,-488,3,70,82,6926,543008
1867,17,1039,89,2929,-5737,2807,3,70,82,6926,543013
1820,13,1033,91,5004,2685,2319,3,70,82,6926,543018
1772,7,1033,91,5371,-1342,-2319,3,70,82,6926,543023
1724,13,1037,91,5859,-1708,7568,3,69,82,6928,543028
1678,15,1027,91,3173,3417,976,3,69,82,6928,543033
1634,19,1037,91,3173,-1831,976,3,69,82,6928,543038
1591,-80,378,533,13916,-4028,4028,3,69,82,6928,543043
1547,27,1062,21,-4882,3784,-3784,3,69,82,6928,543048
1510,13,1041,83,-1220,-6347,3417,3,69,82,6928,543053
1472,27,1039,89,4638,-4516,-122,3,69,82,6928,543058
1436,13,1033,89,732,-5249,122,2,70,81,6927,543063
1398,23,1033,85,6103,732,3540,2,70,81,6927,543068
1361,17,1031,87,976,366,1220,2,70,81,6927,543073
1325,17,1035,89,1831,-1464,1098,2,70,81,6927,543078
1292,15,1039,91,-3662,-2075,-976,2,70,81,6927,543083
1256,19,1031,93,12207,2197,244,2,70,81,6927,543088
1220,13,1035,91,1220,732,5126,2,70,81,6927,543093
1185,19,1037,89,-1342,-2807,-732,2,69,82,6927,543098
1151,21,1033,85,-6835,610,0,2,69,82,6927,543103
1119,21,1033,91,-1342,-1464,1708,2,69,82,6927,543108
1088,17,1035,82,-3662,2929,-9155,2,69,82,6927,543113
1058,17,1033,91,-610,-1586,1953,2,69,82,6927,543118
1030,15,1035,87,-2197,3051,3051,2,69,82,6927,543123
1005,19,1033,89,1708,-3540,3051,2,69,82,6927,543128
980,21,1033,87,854,0,-1464,3,69,82,6927,543133
954,17,1042,89,854,-2441,10742,3,69,82,6927,543138
932,19,1035,89,2075,1220,-3540,3,69,82,6927,543143
909,19,1033,91,-610,-4272,3417,3,69,82,6927,543148
886,13,1035,87,-122,-976,-3051,3,69,82,6927,543153
866,19,1039,89,4516,-1342,4516,3,69,82,6927,543158
847,15,1033,85,-2807,-2685,244,3,69,82,6927,543163
830,19,1035,87,-10253,-5859,2929,2,71,82,6927,543168
809,21,1041,91,2319,9887,-1831,2,71,82,6927,543173
794,17,1031,91,3417,2441,-7202,2,71,82,6927,543178
778,23,1031,85,-244,-4760,-2685,2,71,82,6927,543183
763,19,1035,93,-3295,1953,-3295,2,71,82,6927,543188
747,23,1039,89,2075,-1098,4272,2,71,82,6927,543193
734,21,1031,89,1342,1342,2929,2,71,82,6927,543198
719,19,1039,89,3173,-1220,-2319,2,70,81,6927,543203
708,13,1039,91,610,-244,-4638,2,70,81,6927,543208
695,11,1035,89,488,-4028,-3906,2,70,81,6927,543213
684,21,1033,89,1831,1586,2441,2,70,81,6927,543218
672,21,1041,89,2563,854,-1831,2,70,81,6927,543223
662,21,1033,85,5249,2075,732,2,70,81,6927,543228
653,19,1033,91,2563,-3417,-6591,2,70,81,6927,543233
645,11,1033,93,-1953,-7690,-488,4,68,81,6928,543238
635,19,1035,91,-2197,4760,-5737,4,68,81,6928,543243
626,23,1041,91,-3417,-3417,4516,4,68,81,6928,543248
617,25,1037,89,3173,4028,2197,4,68,81,6928,543253
609,13,1033,91,-5004,3784,-6225,4,68,81,6928,543258
602,21,1033,93,1342,-3295,-3540,4,68,81,6928,543263
595,23,1042,89,2685,-3051,2563,3,69,80,6928,543268
588,25,1033,87,-4028,-7812,-5737,3,69,80,6928,543273
582,17,1035,87,0,1831,4272,3,69,80,6928,543278
577,11,1031,91,-2319,-6713,7812,3,69,80,6928,543283
570,19,1033,91,1220,2075,3051,3,69,80,6928,543288
564,15,1033,89,2075,-2807,-1708,3,69,80,6928,543293
559,21,1031,91,-122,6225,2563,3,69,80,6928,543298
554,17,1037,85,-4272,-4150,3540,2,69,82,6928,543303
551,19,1035,91,4272,-5615,-5249,2,69,82,6928,543308
545,13,1033,89,-488,2075,-5493,2,69,82,6928,543313
541,13,1035,85,854,-366,-3540,2,69,82,6928,543318
537,15,1037,85,-4028,-5981,-976,2,69,82,6928,543323
532,21,1035,89,1342,1953,-488,2,69,82,6928,543328
530,15,1035,91,-1098,-6958,854,2,69,82,6928,543333
526,13,1029,91,976,-3051,-3662,2,69,82,6927,543338
523,17,1039,89,1098,-2685,2929,2,69,82,6927,543343
521,19,1042,85,-2929,-1708,1220,2,69,82,6927,543348
516,19,1041,89,-5249,1464,5371,2,69,82,6927,543353
514,19,1027,89,-2685,-5737,7446,2,69,82,6927,543358
512,21,1029,89,-10009,1708,1342,2,69,82,6927,543363
509,27,1035,93,-4028,-3051,4638,2,69,82,6927,543368
506,15,1037,91,-4394,1953,4760,3,69,82,6927,543373
504,17,1037,89,-244,6225,9155,3,69,82,6927,543378
502,23,1039,89,-3173,-2929,4394,3,69,82,6927,543383
499,17,1031,87,-1220,3906,-3051,3,69,82,6927,543388
498,19,1042,85,610,-2075,-1342,3,69,82,6927,543393
496,21,1039,87,-488,-7934,-1831,3,69,82,6927,543398
494,19,1035,87,2075,-854,-5126,3,69,82,6927,543403
494,19,1031,87,3540,5126,-3173,4,69,82,6927,543408
491,17,1033,89,610,3417,-2197,4,69,82,6927,543413
490,19,1037,91,4516,-976,1098,4,69,82,6927,543418
488,23,1035,91,3173,-366,-976,4,69,82,6927,543423
487,15,1042,91,-3417,2441,7812,4,69,82,6927,543428
485,15,1029,87,0,-2075,-7324,4,69,82,6927,543433
484,17,1029,91,-5493,5249,244,4,69,82,6927,543438
483,15,1037,72,-1953,7934,-6591,3,69,82,6927,543443
482,35,1042,91,4760,-854,2075,3,69,82,6927,543448
480,17,1037,91,-5126,-366,-3540,3,69,82,6927,543453
479,11,1031,89,1586,4394,-2563,3,69,82,6927,543458
477,15,1031,89,2075,7324,1586,3,69,82,6927,543463
477,21,1035,89,-2441,-3540,976,3,69,82,6927,543468
476,17,1037,89,0,-4272,2075,3,69,82,6927,543473
476,19,1041,91,-3417,-122,4638,2,69,81,6928,543478
474,15,1035,91,-2807,5004,5615,2,69,81,6928,543483
474,23,1033,89,3540,-1464,-2441,2,69,81,6928,543488
473,23,1031,91,2319,-732,-1220,2,69,81,6928,543493
474,23,1035,87,2197,-2075,-6469,2,69,81,6928,543498
473,17,1033,91,6103,0,1708,2,69,81,6928,543503
473,21,1035,87,610,-5615,-2929,3,70,81,6928,543508
472,17,1035,87,-610,-2319,-610,3,70,81,6928,543513
472,23,1035,91,-2929,-1586,-9887,3,70,81,6928,543518
470,21,1037,91,1098,366,-4882,3,70,81,6928,543523
469,17,1037,85,-1464,3295,1586,3,70,81,6928,543528
469,15,1037,91,-1586,-244,-2197,3,70,81,6928,543533
467,21,1033,85,-366,-4516,1831,3,70,81,6928,543538
469,21,1029,91,-3295,3051,-1831,4,70,81,6927,543543
466,23,1031,93,0,1953,-8300,4,70,81,6927,543548
467,19,1031,85,-4394,366,-488,4,70,81,6927,543553
466,21,1033,87,2075,5249,-610,4,70,81,6927,543558
467,19,1029,85,-5493,-1098,7080,4,70,81,6927,543563
466,17,1035,87,2441,6591,-7080,4,70,81,6927,543568
466,17,1037,85,4272,-610,3173,4,70,81,6927,543573
466,17,1033,87,2075,2563,2685,3,69,82,6926,543578
468,19,1041,85,3906,1098,-610,3,69,82,6926,543583
467,17,1039,87,-7080,-122,-4150,3,69,82,6926,543588
466,23,1035,87,-4028,-1464,-4882,3,69,82,6926,543593
467,19,1033,87,4394,366,5126,3,69,82,6926,543598
466,27,1031,83,-4394,1953,5126,3,69,82,6926,543603
466,25,1035,82,-2075,-610,1708,3,69,82,6926,543608
466,25,1033,80,2563,2807,5371,4,69,81,6928,543613
466,31,1035,70,976,5859,-3417,4,69,81,6928,543618
465,29,1027,58,-1708,5004,-488,4,69,81,6928,543623
466,31,1029,46,7568,6225,366,4,69,81,6928,543628
