ADC[mV],Beschleunigung_x[mg],Beschleunigung_y[mg],Beschleunigung_z[mg],Winkelgeschwindigkeit_x[mdeg/s],Winkelgeschwindigkeit_y[mdeg/s],Winkelgeschwindigkeit_z[mdeg/s],Magnetfeld_x[mT],Magnetfeld_y[mT],Magnetfeld_z[mT],Widerstand[A/(Vs)],Zeit[ms]
466,11,1052,66,-366,610,-4028,4,69,81,6928,543633
466,41,1027,23,-122,2929,6835,4,69,81,6928,543638
466,44,1054,66,-2685,5981,5249,4,69,81,6928,543643
466,0,1033,25,-976,12939,854,3,70,81,6927,543648
466,-3,1101,44,2319,13549,-4028,3,70,81,6927,543653
466,13,1027,7,-5371,12573,-1342,3,70,81,6927,543658
466,-29,988,99,5371,13671,2075,3,70,81,6927,543663
466,13,1029,39,-1098,21850,3295,3,70,81,6927,543668
467,52,1160,115,-4394,24414,11474,3,70,81,6927,543673
466,11,996,42,8422,16235,5615,3,70,81,6927,543678
466,-39,941,-9,7690,16967,4272,3,70,81,6927,543683
467,44,1054,70,-122,28564,1708,3,70,81,6927,543688
467,-58,1001,148,-610,21972,-1220,3,70,81,6927,543693
467,37,1021,105,-2075,29663,-122,3,70,81,6927,543698
466,46,1007,-105,-10009,32714,4028,3,70,81,6927,543703
468,-78,1009,-70,9277,25146,610,3,70,81,6927,543708
467,42,1117,267,-3295,34301,-4028,3,70,81,6927,543713
466,-44,996,48,854,30883,-1464,3,69,80,6927,543718
466,-7,1306,191,-16235,37109,-2929,3,69,80,6927,543723
466,33,945,144,-3662,29785,-2685,3,69,80,6927,543728
467,-80,904,0,7568,33325,732,3,69,80,6927,543733
466,-25,1208,-68,-5371,38818,-2929,3,69,80,6927,543738
467,5,951,54,2807,37353,732,3,69,80,6927,543743
466,-19,929,39,976,32470,-6103,2,70,78,6927,543748
466,-19,992,15,2929,31982,1220,2,70,78,6927,543753
466,-15,1083,126,-2197,33447,1586,2,70,78,6927,543758
468,-33,929,62,2563,34790,2075,2,70,78,6927,543763
466,-48,1320,123,-9521,35278,-2441,2,70,78,6927,543768
467,-21,1248,115,-5493,36010,5126,2,70,78,6927,543773
467,-99,1025,214,10375,20385,5126,2,70,78,6927,543778
466,1,839,257,-6713,31250,0,3,70,78,6928,543783
466,-17,820,42,-732,24169,854,3,70,78,6928,543788
466,1,1123,142,6225,33935,-2441,3,70,78,6928,543793
467,62,1093,23,2441,37597,1342,3,70,78,6928,543798
466,-19,1273,46,-6591,34057,-1342,3,70,78,6928,543803
467,-46,560,-64,3906,28686,-2563,3,70,78,6928,543808
466,11,1166,128,-1708,30029,1342,3,70,78,6928,543813
466,41,1060,-119,-9643,31738,-2075,2,69,77,6927,543818
466,-1,888,15,-2075,27954,3540,2,69,77,6927,543823
466,70,1488,29,-8300,28686,6958,2,69,77,6927,543828
466,-97,769,-140,2685,28076,3784,2,69,77,6927,543833
466,-9,1138,242,10131,23925,5859,2,69,77,6927,543838
466,27,1152,214,-3784,22583,8789,2,69,77,6927,543843
466,-17,1041,1,854,20385,-5004,2,69,77,6927,543848
466,23,1027,-35,-1708,18066,3906,0,71,76,6927,543853
466,-7,1167,121,3662,26000,7934,0,71,76,6927,543858
466,-46,1017,128,3173,11962,1220,0,71,76,6927,543863
466,-41,1015,132,2929,6591,2075,0,71,76,6927,543868
466,60,984,105,-2197,21362,1708,0,71,76,6927,543873
466,-123,855,74,2929,3173,-9521,0,71,76,6927,543878
467,60,1232,195,14892,4760,4882,0,71,76,6927,543883
466,37,1050,101,-5859,10498,-2197,0,70,76,6926,543888
466,-41,748,162,-366,-854,-122,0,70,76,6926,543893
466,-17,929,130,12817,-7446,-5126,0,70,76,6926,543898
466,56,1160,183,122,-2075,7690,0,70,76,6926,543903
467,29,892,-29,-5371,0,6347,0,70,76,6926,543908
468,-37,1095,41,-2441,-8056,-1098,0,70,76,6926,543913
467,48,1171,218,-6347,-854,-2075,0,70,76,6926,543918
466,-13,1017,54,6225,1953,5615,0,69,75,6927,543923
466,52,976,83,-488,-6225,-854,0,69,75,6927,543928
466,41,976,68,-3417,5371,-122,0,69,75,6927,543933
466,9,982,-103,-1953,-2075,-2319,0,69,75,6927,543938
466,-50,947,113,3295,-2807,-4394,0,69,75,6927,543943
466,62,966,101,11352,-610,-4516,0,69,75,6927,543948
466,-64,1009,121,2563,-366,854,0,69,75,6927,543953
466,33,1345,238,-3295,-4028,-5004,1,70,76,6927,543958
466,17,921,82,5615,1708,7080,1,70,76,6927,543963
468,29,890,175,7568,-2197,-3906,1,70,76,6927,543968
467,-19,1193,91,-1342,-11474,366,1,70,76,6927,543973
467,19,873,85,2075,-2929,1220,1,70,76,6927,543978
467,9,974,160,8544,-5615,2563,1,70,76,6927,543983
466,23,996,70,3173,366,-3051,1,70,76,6927,543988
466,21,921,48,-10620,-5004,-2807,1,69,76,6928,543993
466,-52,861,50,-2197,-14892,-5737,1,69,76,6928,543998
466,58,1144,97,-2563,-1098,-3784,1,69,76,6928,544003
467,5,1013,66,2441,-10009,-10131,1,69,76,6928,544008
467,-25,1074,123,-1708,-14160,1831,1,69,76,6928,544013
466,29,1046,298,1708,-12573,0,1,69,76,6928,544018
467,48,1046,173,-5493,-12084,-5493,-1,70,76,6926,544023
467,13,1095,107,-3295,-15991,488,-1,70,76,6926,544028
466,41,1138,117,-3417,-10375,3906,-1,70,76,6926,544033
466,15,996,144,6713,-12451,-7446,-1,70,76,6926,544038
466,70,988,216,3540,-15502,-2197,-1,70,76,6926,544043
467,68,1093,210,1342,-15258,-6958,-1,70,76,6926,544048
466,60,1041,177,5371,-18432,-732,-1,70,76,6926,544053
466,39,1005,125,-2075,-16723,9277,-1,71,75,6925,544058
466,56,1039,125,-3784,-14526,2441,-1,71,75,6925,544063
466,52,1072,138,-5004,-14038,-3784,-1,71,75,6925,544068
466,64,1031,97,-610,-14526,-4028,-1,71,75,6925,544073
466,70,1078,115,-2807,-6835,-2807,-1,71,75,6925,544078
466,128,1017,138,122,-11474,-732,-1,71,75,6925,544083
466,95,1023,128,-1464,-3417,2319,-1,71,75,6925,544088
466,91,1029,103,-3295,-6103,-2685,1,69,74,6926,544093
467,7,1023,87,-4150,-488,-1953,1,69,74,6926,544098
466,25,1035,91,3906,854,-1220,1,69,74,6926,544103
466,25,1023,87,4272,-1342,-1342,1,69,74,6926,544108
466,-11,1009,9,1342,610,-4516,1,69,74,6926,544113
466,42,1087,80,122,122,-1586,1,69,74,6926,544118
466,19,1039,80,-8056,-5859,-976,1,69,74,6926,544123
466,15,1035,89,-1098,3295,-3417,1,70,76,6927,544128
466,17,1037,89,2075,1342,-5126,1,70,76,6927,544133
467,-19,1035,33,1098,0,2075,1,70,76,6927,544138
466,11,1060,105,-1708,-488,-8300,1,70,76,6927,544143
466,-50,1033,93,-2197,-2441,3784,1,70,76,6927,544148
466,54,1039,93,3051,-4882,3417,1,70,76,6927,544153
467,-33,1025,82,4272,-2807,0,1,70,76,6927,544158
466,44,1041,93,3295,854,-5981,1,71,76,6925,544163
466,15,1068,50,6713,1586,-1953,1,71,76,6925,544168
466,23,1050,72,9277,1953,3417,1,71,76,6925,544173
466,5,1046,80,-7080,-1464,-3051,1,71,76,6925,544178
465,15,1035,87,8056,244,6103,1,71,76,6925,544183
465,7,1021,87,-1342,3417,2563,1,71,76,6925,544188
468,11,1066,70,2319,-854,732,1,71,76,6925,544193
466,13,1072,93,-1831,1953,4272,0,71,75,6926,544198
466,39,1005,164,3417,610,244,0,71,75,6926,544203
466,27,1056,50,366,-854,14282,0,71,75,6926,544208
467,44,1005,85,-2197,-2319,1342,0,71,75,6926,544213
467,5,1017,93,5737,-2075,1464,0,71,75,6926,544218
467,13,994,93,2075,2563,3417,0,71,75,6926,544223
466,35,1052,93,-732,3906,488,0,71,75,6926,544228
466,15,1035,91,-3051,1586,244,0,71,76,6927,544233
466,17,1041,89,8666,4638,5371,0,71,76,6927,544238
466,19,1039,87,2075,-3540,-6347,0,71,76,6927,544243
467,21,1037,91,-366,-366,-4516,0,71,76,6927,544248
466,27,1037,89,976,1831,5615,0,71,76,6927,544253
467,25,1039,91,366,-2075,-1098,0,71,76,6927,544258
466,23,1029,91,4272,1464,4394,0,71,74,6927,544263
465,21,1035,87,0,3906,3540,0,71,74,6927,544268
466,21,1031,89,-4272,-854,-2197,0,71,74,6927,544273
466,11,1027,87,1098,-3906,366,0,71,74,6927,544278
466,15,1041,91,976,-2075,7690,0,71,74,6927,544283
466,13,1035,87,-4394,7568,5126,0,71,74,6927,544288
466,13,1023,91,976,-1586,2807,0,71,74,6927,544293
468,15,1042,93,3540,3784,7446,1,70,74,6926,544298
466,27,1042,87,2563,-2563,0,1,70,74,6926,544303
466,23,1033,87,-1342,-1098,1586,1,70,74,6926,544308
467,35,1015,91,854,1098,3784,1,70,74,6926,544313
466,5,1017,91,-732,-2075,-7690,1,70,74,6926,544318
466,7,1031,89,-2685,-4028,1953,1,70,74,6926,544323
466,21,1041,89,-244,-1220,2685,1,70,74,6926,544328
467,17,1033,89,-6835,0,732,1,71,76,6927,544333
466,15,1033,83,-3173,-5249,-1953,1,71,76,6927,544338
467,15,1041,85,2563,-3173,1220,1,71,76,6927,544343
466,23,1039,89,4150,5249,4760,1,71,76,6927,544348
466,21,1027,87,-1586,1098,6591,1,71,76,6927,544353
467,25,1027,78,-6591,-1220,2075,1,71,76,6927,544358
467,23,1029,85,976,1708,366,1,71,76,6927,544363
466,19,1023,89,488,-610,2563,0,71,75,6928,544368
467,15,1042,87,-8422,-4394,2075,0,71,75,6928,544373
465,21,1042,89,1831,-976,-2319,0,71,75,6928,544378
467,17,1041,89,-4760,-2075,6103,0,71,75,6928,544383
466,23,1037,85,-732,-244,-122,0,71,75,6928,544388
467,21,1039,82,-3662,-732,5004,0,71,75,6928,544393
467,19,1041,93,3051,1220,854,0,71,75,6928,544398
466,19,1029,87,2319,488,732,0,70,75,6928,544403
465,15,1033,87,366,-4394,-366,0,70,75,6928,544408
466,19,1033,85,-2685,-5004,1831,0,70,75,6928,544413
465,23,1033,87,5859,-854,4516,0,70,75,6928,544418
467,9,1025,91,3173,-1708,1098,0,70,75,6928,544423
466,17,1042,89,0,1464,5126,0,70,75,6928,544428
466,21,1042,89,854,3173,6469,0,70,75,6928,544433
467,21,1033,87,-3051,0,854,0,70,76,6926,544438
466,17,1035,87,1708,-1342,4028,0,70,76,6926,544443
466,17,1029,87,2075,-4028,366,0,70,76,6926,544448
467,17,1035,91,2075,5493,11718,0,70,76,6926,544453
466,15,1033,91,854,-1831,2319,0,70,76,6926,544458
465,19,1029,93,122,-122,-2197,0,70,76,6926,544463
466,21,1029,83,-3540,366,1831,0,70,76,6926,544468
466,21,1023,89,-732,5981,-610,0,71,75,6926,544473
466,23,1029,89,244,2685,-2807,0,71,75,6926,544478
466,23,1029,87,976,-2075,-732,0,71,75,6926,544483
466,15,1035,89,-1220,2441,5249,0,71,75,6926,544488
465,23,1044,85,366,6225,7324,0,71,75,6926,544493
466,13,1050,87,-5493,1831,-5249,0,71,75,6926,544498
466,7,1058,87,1464,4760,-4394,1,72,75,6925,544503
466,23,1060,87,-1220,1586,366,1,72,75,6925,544508
467,15,1048,89,3051,2563,-3906,1,72,75,6925,544513
466,23,1044,87,-4638,-2319,6469,1,72,75,6925,544518
466,25,1025,87,1342,4638,610,1,72,75,6925,544523
467,23,1013,89,2441,5126,2075,1,72,75,6925,544528
466,19,1015,85,-3784,-2563,-610,1,72,75,6925,544533
467,17,1021,89,-3906,2807,3906,0,70,76,6928,544538
467,19,1035,89,-5981,1708,-2319,0,70,76,6928,544543
468,19,1044,89,-366,-1464,-1831,0,70,76,6928,544548
467,15,1041,83,2685,-2075,5004,0,70,76,6928,544553
467,21,1041,89,-2319,3295,-2197,0,70,76,6928,544558
466,21,1037,89,610,-4150,-366,0,70,76,6928,544563
466,19,1033,85,-610,-1708,854,0,70,76,6928,544568
466,21,1029,89,2685,-4516,4150,0,70,76,6926,544573
466,17,1029,91,-1098,3417,-4882,0,70,76,6926,544578
466,29,1031,89,244,-854,4272,0,70,76,6926,544583
465,17,1033,91,-5493,-8056,-8178,0,70,76,6926,544588
466,19,1029,87,-6835,-1953,-1831,0,70,76,6926,544593
466,23,1035,89,-3540,-1098,10375,0,70,76,6926,544598
466,17,1042,91,-3784,-1220,-1220,0,70,76,6926,544603
466,17,1039,87,3295,9765,3051,1,70,75,6926,544608
466,15,1039,87,3417,976,2563,1,70,75,6926,544613
466,27,1029,89,-4150,-6713,-3295,1,70,75,6926,544618
466,27,1033,87,-2075,0,-1342,1,70,75,6926,544623
465,19,1031,87,4516,-1342,-244,1,70,75,6926,544628
466,15,1037,87,4150,-1586,4638,1,70,75,6926,544633
465,17,1035,89,732,-366,1953,1,70,75,6926,544638
466,15,1035,87,2563,122,-1831,0,71,76,6927,544643
466,21,1033,89,-4638,-122,-610,0,71,76,6927,544648
465,23,1033,91,-2563,-3784,1220,0,71,76,6927,544653
466,19,1041,87,3417,732,-2197,0,71,76,6927,544658
466,21,1041,87,1464,-122,-3417,0,71,76,6927,544663
468,15,1029,89,1831,-4760,1586,0,71,76,6927,544668
466,15,1035,91,-5737,-2075,2563,0,71,76,6927,544673
467,17,1031,87,-2685,-2075,854,1,70,75,6927,544678
466,13,1033,87,-610,2319,-488,1,70,75,6927,544683
466,17,1039,89,-1831,-5004,1220,1,70,75,6927,544688
465,17,1037,91,1220,-3417,2563,1,70,75,6927,544693
466,21,1039,85,-4760,-610,1953,1,70,75,6927,544698
466,23,1035,91,2929,-3784,-5371,1,70,75,6927,544703
466,15,1037,89,-1098,-2075,366,1,70,75,6927,544708
466,21,1037,87,6103,3540,-2197,0,70,75,6927,544713
465,19,1039,87,1831,3417,7812,0,70,75,6927,544718
465,17,1039,91,1586,4150,366,0,70,75,6927,544723
466,15,1035,89,366,4028,-2075,0,70,75,6927,544728
466,17,1033,85,3784,-976,-2563,0,70,75,6927,544733
466,13,1031,89,976,1220,2197,0,70,75,6927,544738
465,23,1041,91,610,-610,976,0,70,75,6927,544743
466,19,1037,87,-2563,-610,732,0,69,76,6928,544748
466,11,1035,91,-1098,-2685,2197,0,69,76,6928,544753
465,13,1037,85,4882,-2197,-3295,0,69,76,6928,544758
466,17,1041,89,2685,-3662,244,0,69,76,6928,544763
466,15,1031,85,-1464,366,-6103,0,69,76,6928,544768
465,25,1033,89,1831,3784,2075,0,69,76,6928,544773
466,23,1039,89,2319,1953,1586,0,70,76,6927,544778
466,23,1035,85,6591,2197,6103,0,70,76,6927,544783
466,13,1025,89,366,1220,0,0,70,76,6927,544788
466,17,1035,85,3295,-488,4760,0,70,76,6927,544793
466,19,1042,91,-5737,-5126,-244,0,70,76,6927,544798
466,21,1041,91,-6103,-2441,-7568,0,70,76,6927,544803
466,17,1037,89,366,732,3173,0,70,76,6927,544808
465,19,1035,89,2319,122,-7812,1,71,76,6925,544813
466,21,1039,87,0,1342,366,1,71,76,6925,544818
465,21,1041,91,-122,-1342,-122,1,71,76,6925,544823
467,23,1039,85,122,1831,2075,1,71,76,6925,544828
466,15,1041,89,2075,3295,488,1,71,76,6925,544833
466,17,1031,87,-2197,-5615,-3662,1,71,76,6925,544838
466,11,1031,87,-2197,-1098,-10131,1,71,76,6925,544843
466,13,1037,89,244,-976,1708,1,69,76,6926,544848
466,21,1033,85,-4394,-6347,-4516,1,69,76,6926,544853
467,19,1035,87,488,-2807,3906,1,69,76,6926,544858
466,11,1037,91,-2319,-2197,-6225,1,69,76,6926,544863
467,17,1035,89,-244,1953,-1220,1,69,76,6926,544868
466,17,1035,91,5859,1953,-2075,1,69,76,6926,544873
466,13,1035,85,-4638,-244,3417,1,69,76,6926,544878
466,17,1037,85,366,5371,0,0,71,76,6925,544883
466,15,1031,85,-2685,2197,5615,0,71,76,6925,544888
465,15,1039,89,488,122,-5249,0,71,76,6925,544893
467,25,1039,85,1464,3173,-1342,0,71,76,6925,544898
466,21,1037,89,2197,-366,2563,0,71,76,6925,544903
466,17,1037,91,-5493,-3295,-3051,0,71,76,6925,544908
466,19,1033,91,6469,122,-5126,0,71,76,6925,544913
467,15,1041,87,2075,2563,2319,0,70,75,6927,544918
466,19,1035,91,1586,-610,-7324,0,70,75,6927,544923
467,21,1033,89,3906,5981,-1586,0,70,75,6927,544928
466,17,1031,89,366,-2685,4760,0,70,75,6927,544933
466,17,1039,89,5249,-5493,3417,0,70,75,6927,544938
466,21,1033,89,2685,3784,-8789,0,70,75,6927,544943
466,21,1037,89,1953,-488,2807,0,70,75,6927,544948
466,17,1039,87,-1464,-1464,-9643,1,71,75,6926,544953
466,19,1035,89,122,1831,-3540,1,71,75,6926,544958
466,23,1041,89,2929,-732,-1708,1,71,75,6926,544963
466,19,1037,89,-4150,-3173,-5249,1,71,75,6926,544968
466,21,1035,91,9033,-122,1464,1,71,75,6926,544973
465,25,1031,89,0,-244,-5371,1,71,75,6926,544978
466,17,1039,85,4882,366,4638,1,71,75,6926,544983
466,19,1037,89,3540,2441,3906,1,69,76,6925,544988
466,13,1035,87,0,-3417,2685,1,69,76,6925,544993
467,11,1035,87,1708,-4760,-5737,1,69,76,6925,544998
465,19,1035,87,122,2197,3417,1,69,76,6925,545003
466,21,1035,89,-5249,-2685,-610,1,69,76,6925,545008
466,19,1037,85,-1342,-1708,-244,1,69,76,6925,545013
466,13,1041,85,-1220,-4760,-366,0,71,75,6925,545018
466,21,1046,83,4760,854,854,0,71,75,6925,545023
466,19,1033,80,-2197,-1831,854,0,71,75,6925,545028
466,17,1035,89,-7690,-2685,-1831,0,71,75,6925,545033
465,19,1039,87,1831,-244,5249,0,71,75,6925,545038
466,21,1033,82,-732,-1342,1708,0,71,75,6925,545043
466,21,1039,91,0,-2075,-9521,0,71,75,6925,545048
467,13,1035,87,-4760,-6103,122,0,72,76,6928,545053
466,21,1039,87,1586,2441,366,0,72,76,6928,545058
466,17,1039,85,0,-4028,1220,0,72,76,6928,545063
466,19,1035,91,-3540,1953,-2685,0,72,76,6928,545068
466,13,1033,91,1098,610,-1464,0,72,76,6928,545073
466,19,1037,91,2197,854,732,0,72,76,6928,545078
468,25,1035,89,-3540,0,1098,0,72,76,6928,545083
466,21,1033,89,2197,2075,5737,0,70,76,6927,545088
466,15,1031,89,4028,3173,1220,0,70,76,6927,545093
466,21,1037,89,6103,-3662,-2563,0,70,76,6927,545098
466,21,1029,87,610,-2563,-1586,0,70,76,6927,545103
466,19,1035,87,-4150,854,-3051,0,70,76,6927,545108
466,19,1033,89,-6713,-5737,-2563,0,70,76,6927,545113
466,19,1035,89,976,-366,-488,0,70,76,6927,545118
465,13,1035,91,1220,2197,2563,0,71,76,6927,545123
466,19,1037,85,3540,4028,-4028,0,71,76,6927,545128
466,17,1033,85,5371,3540,2563,0,71,76,6927,545133
466,19,1031,89,366,-4028,1464,0,71,76,6927,545138
465,21,1037,85,976,1708,976,0,71,76,6927,545143
466,15,1033,83,-3784,3417,5371,0,71,76,6927,545148
466,17,1039,89,1464,-3906,0,0,71,76,6927,545153
466,13,1029,89,244,0,-610,0,70,76,6926,545158
467,19,1035,89,-5004,-4516,3173,0,70,76,6926,545163
466,15,1033,80,-1831,-1220,244,0,70,76,6926,545168
466,15,1037,89,3295,732,3906,0,70,76,6926,545173
467,17,1035,91,2929,-1586,5249,0,70,76,6926,545178
466,23,1035,87,4272,-3173,8911,0,70,76,6926,545183
466,15,1037,89,-2929,-3051,1220,0,70,76,6926,545188
