,ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,stator_yoke,stator_tooth,stator_winding
595628,-1.4101536,-0.8052394,0.34393847,-1.3046601999999998,-1.2224282,-0.25563973,1.0291655,-0.24570994,-2.5103812000000003,-1.6082421999999998,-1.8665568,-1.8385654999999999
595629,-1.4106987,-0.8047144,0.327403,-1.2560851999999998,-1.2080998,-0.16960067,1.0094643,-0.14233539,-2.5110547999999997,-1.6078236000000001,-1.8670971,-1.8386563999999999
595630,-1.4146675,-0.8039092,0.30105856,-1.1443595,-1.1600639,-0.09923912,0.99283886,-0.05803831,-2.5107079,-1.6076877,-1.8671894,-1.8389099999999998
595631,-1.4216083000000002,-0.8024909,0.26913065,-0.9870226000000001,-1.0872897,-0.05393277,0.98361635,-0.0035517944,-2.5092787999999997,-1.6059723999999997,-1.866832,-1.8397688
595632,-1.4237795,-0.8009062,0.23634975,-0.7960626999999999,-0.99678457,-0.031150391,0.98229885,0.024363374,-2.5089307,-1.6039138000000002,-1.8671826,-1.8404188999999997
595633,-1.4271871999999999,-0.7993338000000001,0.19163936,-0.58271545,-0.89354277,-0.0024178093,0.9752818000000001,0.058770187,-2.5090418,-1.6031251,-1.8671113999999998,-1.8402546999999998
595634,-1.4344784,-0.7982143,0.12112404,-0.35539246,-0.78120595,0.050338544000000006,0.9588049000000001,0.12063455,-2.5088703999999997,-1.6016318,-1.8671191999999999,-1.8398625
595635,-1.4391758,-0.7975691,0.04720161,-0.116994165,-0.66241366,0.09374355,0.9445483,0.1712515,-2.5086176,-1.6010991,-1.8671091,-1.8388243999999998
595636,-1.4356307,-0.7969147,-0.0075908830000000005,0.13340065,-0.538945,0.10668378,0.9419369000000001,0.18683451,-2.5091248,-1.6011808,-1.8666952,-1.8375203999999998
595637,-1.4219687,-0.7969233,-0.059288207,0.39067470000000004,-0.41209759999999995,0.11236822,0.9410655000000001,0.1938931,-2.5116012000000003,-1.6008091999999998,-1.8662521,-1.8375144
595638,-1.4193138,-0.7976604,-0.12416641,0.6512316999999999,-0.2828509,0.12589021,0.93780214,0.20987765,-2.5123130000000002,-1.60105,-1.8665990000000001,-1.8380546999999998
595639,-1.4279239,-0.7983766,-0.21784268,0.9096453000000001,-0.15188379999999999,0.16655582,0.92592347,0.24579209,-2.512084,-1.6016629999999998,-1.8665866000000002,-1.8382816000000002
595640,-1.4340928999999998,-0.7988897,-0.30739996,1.1016996000000001,-0.01961416,0.24592848,0.8381245999999999,0.27578324,-2.5123522,-1.6019791,-1.8660462,-1.8385046999999999
595641,-1.4331483999999999,-0.7999824999999999,-0.49911988,1.0723737,0.11347525,0.34665173,0.5316666999999999,0.37013492,-2.5114137999999997,-1.6021158000000002,-1.8654456000000001,-1.8386701
595642,-1.4281116000000003,-0.8017018,-0.6931219,0.95892286,0.24199386,0.4569621,0.17869203,0.46203405,-2.5160142999999997,-1.6024365,-1.8646903000000001,-1.8384228999999999
595643,-1.4285221000000001,-0.8028635999999999,-0.8559165000000001,0.8321056999999998,0.33506912,0.5609111999999999,-0.11962528,0.5471678000000001,-2.5069407999999997,-1.6024737,-1.8641468,-1.8375008000000002
595644,-1.4254818,-0.8033762,-0.9862206,0.7124395,0.40413767,0.64846617,-0.36867276,0.6170478,-2.4942796,-1.6023208999999998,-1.8647343999999997,-1.8375304000000001
